Date             P       T       L
2019-06-08     32        33        35
2019-06-07     57        26        45
2019-06-06     62        30        65
2019-06-05     44        39        64
2019-06-04     54        30        63
2019-06-03     33        49        98
2019-06-02     45        49        83
2019-06-01     56        44        66
2019-05-31     61        48        32
2019-05-30     44        19        48
2019-05-29     27        16        45
2019-05-28     26        40        71
2019-05-27     59        45        95
2019-05-26     61        28        46
2019-05-25     43        36        37
2019-05-24     32        19        55
2019-05-23     60        28        97
2019-05-22     44        44        66
2019-05-21     61        49        15
2019-05-20     49        32        29
2019-05-19     50        33        14
2019-05-18     31        24        54
2019-05-17     36        38        41
2019-05-16     38        45        60
2019-05-15     36        37        73
2019-05-14     33        39        86
2019-05-13     53        37        38
2019-05-12     70        16        94
2019-05-11     34        38        40
2019-05-10     40        28        90
2019-05-09     50        25        46
2019-05-08     65        38        84
2019-05-07     28        22        24
2019-05-06     34        16        62
2019-05-05     25        17        49
2019-05-04     35        48        79
2019-05-03     63        20        97
2019-05-02     66        31        42
2019-05-01     28        21        57
2019-04-30     68        30        58
2019-04-29     47        36        62
2019-04-28     53        37        100
2019-04-27     42        46        29
2019-04-26     25        31        35
2019-04-25     38        27        88
2019-04-24     44        21        28
2019-04-23     34        25        11
2019-04-22     70        16        64
2019-04-21     47        34        89
2019-04-20     59        17        85
2019-04-19     68        33        81
2019-04-18     60        33        84
2019-04-17     44        33        36
2019-04-16     67        23        78
2019-04-15     39        50        21
2019-04-14     37        43        23
2019-04-13     48        50        72
2019-04-12     36        15        61
2019-04-11     60        19        10
2019-04-10     68        50        97
2019-04-09     49        34        73
2019-04-08     40        22        10
2019-04-07     42        23        28
2019-04-06     52        24        44
2019-04-05     58        22        31
2019-04-04     41        23        71
2019-04-03     43        41        57
2019-04-02     61        21        16
2019-04-01     54        35        52
2019-03-31     66        31        89
2019-03-30     46        46        86
2019-03-29     57        39        57
2019-03-28     46        32        38
2019-03-27     63        31        43
2019-03-26     35        22        32
2019-03-25     64        33        46
2019-03-24     35        32        22
2019-03-23     66        33        33
2019-03-22     42        38        97
2019-03-21     37        47        81
2019-03-20     56        40        30
2019-03-19     46        43        61
2019-03-18     53        37        20
2019-03-17     27        45        21
2019-03-16     51        44        48
2019-03-15     44        25        85
2019-03-14     28        39        92
2019-03-13     27        38        75
2019-03-12     39        38        32
2019-03-11     27        48        94
2019-03-10     70        47        23
2019-03-09     44        31        29
2019-03-08     26        17        79
2019-03-07     65        22        70
2019-03-06     44        21        23
2019-03-05     56        32        64
2019-03-04     59        22        38
2019-03-03     48        18        12
2019-03-02     33        34        92
2019-03-01     60        38        25
2019-02-28     27        26        17
2019-02-27     56        18        48
2019-02-26     48        43        10
2019-02-25     59        24        76
2019-02-24     28        26        24
2019-02-23     70        49        16
2019-02-22     49        20        35
2019-02-21     33        47        22
2019-02-20     33        36        71
2019-02-19     65        40        12
2019-02-18     49        49        90
2019-02-17     26        24        91
2019-02-16     25        27        11
2019-02-15     45        50        97
2019-02-14     65        33        15
2019-02-13     40        24        79
2019-02-12     36        23        38
2019-02-11     28        37        24
2019-02-10     70        18        91
2019-02-09     55        22        90
2019-02-08     27        50        23
2019-02-07     55        37        19
2019-02-06     46        32        53
2019-02-05     60        21        81
2019-02-04     26        17        64
2019-02-03     37        37        79
2019-02-02     54        19        57
2019-02-01     50        50        67
2019-01-31     41        42        94
2019-01-30     58        22        50
2019-01-29     26        25        92
2019-01-28     57        37        43
2019-01-27     41        43        61
2019-01-26     48        40        96
2019-01-25     70        37        44
2019-01-24     58        17        28
2019-01-23     65        23        15
2019-01-22     48        49        21
2019-01-21     66        50        54
2019-01-20     51        41        94
2019-01-19     63        36        27
2019-01-18     55        43        11
2019-01-17     62        49        94
2019-01-16     54        29        47
2019-01-15     54        43        53
2019-01-14     64        47        97
2019-01-13     41        47        81
2019-01-12     70        48        59
2019-01-11     47        34        75
2019-01-10     61        27        91
2019-01-09     53        30        35
2019-01-08     61        45        79
2019-01-07     27        37        94
2019-01-06     69        42        25
2019-01-05     54        16        67
2019-01-04     57        18        88
2019-01-03     26        18        49
2019-01-02     43        35        82
2019-01-01     61        27        33
2018-12-31     49        27        55
2018-12-30     42        22        20
2018-12-29     44        15        17
2018-12-28     46        31        72
2018-12-27     25        50        90
2018-12-26     42        47        43
2018-12-25     63        49        71
2018-12-24     66        28        10
2018-12-23     64        37        25
2018-12-22     37        17        30
2018-12-21     49        45        79
2018-12-20     68        39        59
2018-12-19     69        24        83
2018-12-18     44        38        97
2018-12-17     57        26        46
2018-12-16     57        45        99
2018-12-15     36        41        49
2018-12-14     69        41        13
2018-12-13     67        45        69
2018-12-12     25        30        34
2018-12-11     52        34        18
2018-12-10     45        29        15
2018-12-09     29        35        26
2018-12-08     49        40        87
2018-12-07     29        18        90
2018-12-06     64        44        31
2018-12-05     39        37        66
2018-12-04     69        44        27
2018-12-03     36        39        74
2018-12-02     39        15        60
2018-12-01     25        30        51
2018-11-30     69        25        98
2018-11-29     28        42        81
2018-11-28     56        16        84
2018-11-27     62        39        14
2018-11-26     57        27        33
2018-11-25     27        36        36
2018-11-24     34        41        84
2018-11-23     25        16        14
2018-11-22     52        23        86
2018-11-21     28        19        18
2018-11-20     63        20        91
2018-11-19     27        33        15
2018-11-18     32        46        96
2018-11-17     31        43        49
2018-11-16     49        27        13
2018-11-15     68        38        99
2018-11-14     62        15        56
2018-11-13     50        45        65
2018-11-12     65        27        98
2018-11-11     39        43        38
2018-11-10     51        16        34
2018-11-09     67        26        18
2018-11-08     43        47        84
2018-11-07     28        41        73
2018-11-06     32        45        18
2018-11-05     38        44        62
2018-11-04     35        46        79
2018-11-03     51        21        18
2018-11-02     60        26        30
2018-11-01     45        21        49
2018-10-31     57        18        88
2018-10-30     59        40        46
2018-10-29     34        40        16
2018-10-28     37        43        23
2018-10-27     54        36        90
2018-10-26     31        25        18
2018-10-25     42        43        22
2018-10-24     55        46        60
2018-10-23     25        20        66
2018-10-22     65        19        68
2018-10-21     27        38        36
2018-10-20     56        39        59
2018-10-19     37        23        42
2018-10-18     37        25        32
2018-10-17     70        36        31
2018-10-16     31        15        18
2018-10-15     46        47        31
2018-10-14     47        31        34
2018-10-13     39        21        34
2018-10-12     45        23        42
2018-10-11     35        39        36
2018-10-10     57        32        91
2018-10-09     51        23        71
2018-10-08     59        30        37
2018-10-07     69        22        95
2018-10-06     39        43        47
2018-10-05     54        34        36
2018-10-04     61        47        37
2018-10-03     62        28        20
2018-10-02     26        46        90
2018-10-01     54        47        89
2018-09-30     40        47        80
2018-09-29     55        19        46
2018-09-28     42        25        22
2018-09-27     28        25        36
2018-09-26     63        47        40
2018-09-25     41        50        62
2018-09-24     55        23        99
2018-09-23     39        36        45
2018-09-22     58        50        35
2018-09-21     49        33        21
2018-09-20     45        24        87
2018-09-19     32        17        26
2018-09-18     56        15        77
2018-09-17     32        46        72
2018-09-16     61        36        14
2018-09-15     36        29        65
2018-09-14     45        22        78
2018-09-13     29        50        23
2018-09-12     47        47        99
2018-09-11     50        43        31
2018-09-10     37        42        84
2018-09-09     29        39        62
2018-09-08     25        44        56
2018-09-07     43        23        95
2018-09-06     62        22        33
2018-09-05     57        24        15
2018-09-04     50        43        58
2018-09-03     60        29        83
2018-09-02     33        28        12
2018-09-01     31        46        67
2018-08-31     52        18        92
2018-08-30     62        24        35
2018-08-29     28        49        91
2018-08-28     35        36        11
2018-08-27     35        36        84
2018-08-26     50        46        33
2018-08-25     48        15        24
2018-08-24     36        50        97
2018-08-23     45        18        34
2018-08-22     52        24        71
2018-08-21     50        20        19
2018-08-20     57        18        55
2018-08-19     61        38        54
2018-08-18     55        17        91
2018-08-17     28        27        23
2018-08-16     34        45        39
2018-08-15     63        42        73
2018-08-14     28        23        71
2018-08-13     31        30        83
2018-08-12     56        48        68
2018-08-11     44        25        82
2018-08-10     55        34        26
2018-08-09     54        46        100
2018-08-08     50        23        85
2018-08-07     60        16        47
2018-08-06     55        40        89
2018-08-05     30        21        67
2018-08-04     40        41        98
2018-08-03     56        17        20
2018-08-02     62        33        65
2018-08-01     32        44        11
2018-07-31     53        50        56
2018-07-30     33        19        53
2018-07-29     30        33        47
2018-07-28     67        50        74
2018-07-27     53        21        79
2018-07-26     30        33        54
2018-07-25     44        17        86
2018-07-24     62        16        84
2018-07-23     43        30        92
2018-07-22     53        47        45
2018-07-21     54        40        25
2018-07-20     34        28        12
2018-07-19     54        17        97
2018-07-18     34        30        60
2018-07-17     46        40        33
2018-07-16     31        28        35
2018-07-15     35        31        98
2018-07-14     64        22        88
2018-07-13     53        40        10
2018-07-12     35        38        30
2018-07-11     41        16        23
2018-07-10     30        47        67
2018-07-09     42        47        65
2018-07-08     59        25        32
2018-07-07     52        23        24
2018-07-06     50        44        21
2018-07-05     45        26        57
2018-07-04     47        50        83
2018-07-03     35        15        95
2018-07-02     59        27        24
2018-07-01     60        26        10
2018-06-30     57        34        29
2018-06-29     55        18        33
2018-06-28     33        27        62
2018-06-27     34        47        95
2018-06-26     35        39        15
2018-06-25     55        37        20
2018-06-24     70        32        69
2018-06-23     39        23        63
2018-06-22     43        20        88
2018-06-21     31        43        37
2018-06-20     31        33        27
2018-06-19     36        49        100
2018-06-18     44        15        18
2018-06-17     66        23        58
2018-06-16     39        38        12
2018-06-15     51        50        63
2018-06-14     66        43        11
2018-06-13     54        50        98
2018-06-12     43        20        31
2018-06-11     38        41        68
2018-06-10     53        34        10
2018-06-09     70        19        32
2018-06-08     56        18        64
2018-06-07     38        17        56
2018-06-06     50        16        53
2018-06-05     55        20        78
2018-06-04     46        41        27
2018-06-03     37        30        98
2018-06-02     42        29        24
2018-06-01     60        36        54
2018-05-31     45        35        75
2018-05-30     29        26        59
2018-05-29     41        20        33
2018-05-28     53        19        91
2018-05-27     41        15        98
2018-05-26     61        29        19
2018-05-25     43        46        73
2018-05-24     26        23        99
2018-05-23     48        19        100
2018-05-22     58        28        42
2018-05-21     29        45        51
2018-05-20     36        18        54
2018-05-19     53        45        41
2018-05-18     66        16        86
2018-05-17     32        22        50
2018-05-16     30        44        32
2018-05-15     49        27        29
2018-05-14     50        38        21
2018-05-13     56        47        44
2018-05-12     53        45        94
2018-05-11     55        34        92
2018-05-10     55        32        73
2018-05-09     32        35        32
2018-05-08     64        23        12
2018-05-07     40        23        22
2018-05-06     37        35        46
2018-05-05     33        44        48
2018-05-04     36        36        50
2018-05-03     67        41        91
2018-05-02     70        20        16
2018-05-01     53        45        70
2018-04-30     40        44        36
2018-04-29     37        38        71
2018-04-28     65        47        86
2018-04-27     34        19        15
2018-04-26     52        15        62
2018-04-25     44        16        35
2018-04-24     66        40        29
2018-04-23     58        47        39
2018-04-22     35        43        62
2018-04-21     48        33        87
2018-04-20     63        28        42
2018-04-19     29        25        16
2018-04-18     48        24        94
2018-04-17     35        19        48
2018-04-16     37        50        39
2018-04-15     28        32        97
2018-04-14     51        42        37
2018-04-13     51        18        35
2018-04-12     61        41        89
2018-04-11     42        41        77
2018-04-10     25        36        60
2018-04-09     55        42        14
2018-04-08     45        42        14
2018-04-07     66        41        97
2018-04-06     53        25        63
2018-04-05     57        15        86
2018-04-04     56        24        44
2018-04-03     32        49        17
2018-04-02     62        33        75
2018-04-01     53        42        53
2018-03-31     69        33        30
2018-03-30     63        45        34
2018-03-29     62        20        19
2018-03-28     50        33        91
2018-03-27     51        49        49
2018-03-26     54        44        36
2018-03-25     32        26        70
2018-03-24     28        33        95
2018-03-23     56        43        21
2018-03-22     43        25        81
2018-03-21     70        45        57
2018-03-20     69        49        67
2018-03-19     39        32        16
2018-03-18     27        46        98
2018-03-17     49        23        29
2018-03-16     50        33        72
2018-03-15     53        33        76
2018-03-14     36        21        92
2018-03-13     34        40        54
2018-03-12     37        44        66
2018-03-11     42        29        33
2018-03-10     67        50        18
2018-03-09     42        24        71
2018-03-08     69        30        40
2018-03-07     54        48        45
2018-03-06     68        25        79
2018-03-05     54        39        99
2018-03-04     56        34        88
2018-03-03     25        31        54
2018-03-02     43        38        66
2018-03-01     29        22        26
2018-02-28     28        34        78
2018-02-27     65        45        72
2018-02-26     39        49        53
2018-02-25     28        36        29
2018-02-24     70        45        34
2018-02-23     50        46        88
2018-02-22     45        32        71
2018-02-21     68        23        54
2018-02-20     66        25        72
2018-02-19     51        34        36
2018-02-18     33        20        75
2018-02-17     54        32        49
2018-02-16     34        36        46
2018-02-15     44        27        26
2018-02-14     64        25        30
2018-02-13     26        24        34
2018-02-12     57        45        44
2018-02-11     32        25        44
2018-02-10     50        39        78
2018-02-09     31        25        85
2018-02-08     54        25        28
2018-02-07     52        18        22
2018-02-06     68        20        67
2018-02-05     47        36        18
2018-02-04     50        36        76
2018-02-03     52        41        71
2018-02-02     42        34        75
2018-02-01     41        30        36
2018-01-31     59        29        37
2018-01-30     68        21        25
2018-01-29     25        38        30
2018-01-28     54        31        62
2018-01-27     46        48        42
2018-01-26     43        41        63
2018-01-25     70        41        98
2018-01-24     44        48        47
2018-01-23     61        35        31
2018-01-22     26        27        78
2018-01-21     29        23        70
2018-01-20     43        24        29
2018-01-19     33        44        61
2018-01-18     28        37        78
2018-01-17     59        48        76
2018-01-16     32        21        20
2018-01-15     54        36        26
2018-01-14     51        47        28
2018-01-13     67        32        75
2018-01-12     53        36        93
2018-01-11     40        39        69
2018-01-10     66        20        94
2018-01-09     49        24        57
2018-01-08     51        17        96
2018-01-07     65        36        26
2018-01-06     37        31        97
2018-01-05     51        47        33
2018-01-04     56        40        13
2018-01-03     34        43        43
2018-01-02     54        24        76
2018-01-01     51        30        67
2017-12-31     65        37        16
2017-12-30     44        50        73
2017-12-29     45        36        70
2017-12-28     53        18        53
2017-12-27     40        32        33
2017-12-26     60        38        74
2017-12-25     41        43        87
2017-12-24     59        23        15
2017-12-23     54        43        46
2017-12-22     40        26        50
2017-12-21     40        19        65
2017-12-20     66        47        27
2017-12-19     42        21        55
2017-12-18     44        38        91
2017-12-17     40        15        80
2017-12-16     62        40        44
2017-12-15     33        40        13
2017-12-14     49        37        86
2017-12-13     64        17        98
2017-12-12     41        37        14
2017-12-11     44        47        50
2017-12-10     48        15        53
2017-12-09     68        38        78
2017-12-08     55        25        19
2017-12-07     26        26        49
2017-12-06     27        44        27
2017-12-05     67        49        80
2017-12-04     61        45        59
2017-12-03     65        15        50
2017-12-02     27        36        97
2017-12-01     57        41        46
2017-11-30     50        36        90
2017-11-29     39        26        67
2017-11-28     30        25        25
2017-11-27     61        17        89
2017-11-26     35        18        26
2017-11-25     52        15        80
2017-11-24     69        21        83
2017-11-23     70        40        87
2017-11-22     32        17        82
2017-11-21     57        39        46
2017-11-20     31        43        12
2017-11-19     26        37        63
2017-11-18     33        28        97
2017-11-17     49        16        71
2017-11-16     63        49        18
2017-11-15     28        19        82
2017-11-14     25        17        81
2017-11-13     62        39        100
2017-11-12     65        48        71
2017-11-11     40        35        31
2017-11-10     50        32        59
2017-11-09     65        31        12
2017-11-08     44        18        42
2017-11-07     48        42        15
2017-11-06     59        41        64
2017-11-05     50        16        67
2017-11-04     69        26        10
2017-11-03     55        27        72
2017-11-02     70        15        39
2017-11-01     29        21        57
2017-10-31     26        26        70
2017-10-30     67        26        40
2017-10-29     65        24        32
2017-10-28     35        15        62
2017-10-27     53        40        21
2017-10-26     65        18        41
2017-10-25     53        17        82
2017-10-24     53        42        82
2017-10-23     65        22        86
2017-10-22     48        50        70
2017-10-21     33        42        64
2017-10-20     54        16        42
2017-10-19     32        31        33
2017-10-18     45        39        49
2017-10-17     50        41        86
2017-10-16     41        37        22
2017-10-15     66        20        18
2017-10-14     57        27        34
2017-10-13     62        46        26
2017-10-12     70        23        71
2017-10-11     50        17        82
2017-10-10     30        32        38
2017-10-09     25        26        67
2017-10-08     37        40        90
2017-10-07     51        31        10
2017-10-06     55        30        12
2017-10-05     47        18        55
2017-10-04     32        46        89
2017-10-03     65        17        36
2017-10-02     47        48        35
2017-10-01     59        28        30
2017-09-30     36        15        82
2017-09-29     33        38        40
2017-09-28     44        32        93
2017-09-27     57        22        81
2017-09-26     69        18        93
2017-09-25     69        44        100
2017-09-24     33        41        72
2017-09-23     37        21        31
2017-09-22     70        28        15
2017-09-21     43        31        68
2017-09-20     31        22        63
2017-09-19     52        49        19
2017-09-18     59        46        79
2017-09-17     61        25        85
2017-09-16     32        24        76
2017-09-15     64        32        20
2017-09-14     42        31        14
2017-09-13     47        39        59
2017-09-12     26        18        42
2017-09-11     60        33        71
2017-09-10     41        36        60
2017-09-09     47        29        38
2017-09-08     63        31        43
2017-09-07     38        25        80
2017-09-06     59        21        72
2017-09-05     60        29        49
2017-09-04     67        34        19
2017-09-03     52        19        26
2017-09-02     44        25        51
2017-09-01     51        22        64
2017-08-31     59        24        85
2017-08-30     53        50        27
2017-08-29     37        48        64
2017-08-28     31        35        40
2017-08-27     37        37        77
2017-08-26     30        36        100
2017-08-25     61        24        76
2017-08-24     33        31        98
2017-08-23     25        46        87
2017-08-22     34        28        44
2017-08-21     40        29        83
2017-08-20     34        47        54
2017-08-19     51        49        58
2017-08-18     63        27        40
2017-08-17     32        24        63
2017-08-16     58        44        77
2017-08-15     60        35        100
2017-08-14     30        42        59
2017-08-13     60        50        51
2017-08-12     50        33        85
2017-08-11     33        45        48
2017-08-10     44        40        46
2017-08-09     70        36        83
2017-08-08     37        38        94
2017-08-07     26        26        53
2017-08-06     37        25        84
2017-08-05     32        25        35
2017-08-04     34        20        71
2017-08-03     70        26        13
2017-08-02     34        45        46
2017-08-01     52        50        59
2017-07-31     56        23        57
2017-07-30     59        24        18
2017-07-29     30        34        11
2017-07-28     48        41        68
2017-07-27     47        36        27
2017-07-26     68        31        28
2017-07-25     42        43        46
2017-07-24     29        49        55
2017-07-23     25        22        59
2017-07-22     30        41        62
2017-07-21     59        19        70
2017-07-20     63        26        27
2017-07-19     70        20        13
2017-07-18     48        38        49
2017-07-17     28        28        56
2017-07-16     55        47        89
2017-07-15     35        49        63
2017-07-14     33        40        42
2017-07-13     43        24        56
2017-07-12     68        19        84
2017-07-11     52        24        12
2017-07-10     31        41        56
2017-07-09     38        23        56
2017-07-08     44        24        25
2017-07-07     53        23        62
2017-07-06     50        40        98
2017-07-05     65        43        16
2017-07-04     32        48        45
2017-07-03     69        31        83
2017-07-02     60        32        57
2017-07-01     32        33        82
2017-06-30     53        36        60
2017-06-29     51        24        50
2017-06-28     34        47        44
2017-06-27     38        19        17
2017-06-26     51        30        100
2017-06-25     70        23        63
2017-06-24     68        18        39
2017-06-23     51        29        72
2017-06-22     65        38        38
2017-06-21     49        37        53
2017-06-20     44        21        79
2017-06-19     58        26        100
2017-06-18     52        50        86
2017-06-17     45        50        12
2017-06-16     31        39        11
2017-06-15     55        40        62
2017-06-14     45        36        36
2017-06-13     56        16        22
2017-06-12     52        16        43
2017-06-11     70        36        28
2017-06-10     68        43        92
2017-06-09     46        38        20
2017-06-08     38        20        70
2017-06-07     59        33        41
2017-06-06     39        41        41
2017-06-05     41        21        70
2017-06-04     52        38        34
2017-06-03     50        27        11
2017-06-02     68        45        34
2017-06-01     57        35        68
2017-05-31     61        27        81
2017-05-30     31        22        30
2017-05-29     34        30        25
2017-05-28     36        33        78
2017-05-27     69        37        79
2017-05-26     55        30        68
2017-05-25     30        44        24
2017-05-24     43        42        69
2017-05-23     63        39        50
2017-05-22     63        28        88
2017-05-21     69        31        90
